iter	Passed	Remaining
585	51784	36585
586	51876	36499
587	51962	36408
588	52044	36316
589	52135	36229
590	52216	36135
591	52300	36044
592	52386	35955
593	52473	35866
594	52562	35777
595	52656	35693
596	52742	35603
597	52826	35511
598	52915	35424
599	53001	35334
600	53083	35241
601	53169	35151
602	53254	35061
603	53336	34969
604	53421	34878
605	53511	34790
606	53603	34705
607	53695	34619
608	53776	34526
609	53864	34438
610	53949	34347
611	54035	34257
612	54123	34169
613	54210	34080
614	54296	33990
615	54386	33903
616	54469	33811
617	54555	33721
618	54640	33631
619	54726	33541
620	54807	33449
621	54898	33362
622	54983	33272
623	55067	33181
624	55156	33093
625	55243	33004
626	55328	32914
627	55421	32829
628	55510	32741
629	55594	32650
630	55682	32562
631	55769	32473
632	55851	32381
633	55936	32291
634	56026	32204
635	56110	32113
636	56202	32027
637	56286	31937
638	56369	31845
639	56459	31758
640	56544	31668
641	56634	31581
642	56726	31495
643	56810	31404
644	56893	31313
645	56984	31226
646	57068	31136
647	57151	31045
648	57242	30958
649	57325	30867
650	57407	30776
651	57499	30689
652	57582	30599
653	57676	30514
654	57764	30425
655	57850	30336
656	57932	30244
657	58019	30156
658	58104	30066
659	58187	29975
660	58275	29887
661	58358	29796
662	58441	29705
663	58528	29616
664	58614	29527
665	58696	29436
666	58787	29349
667	58872	29259
668	58958	29170
669	59050	29084
670	59136	28995
671	59219	28904
672	59309	28817
673	59391	28726
674	59479	28638
675	59566	28549
676	59650	28459
677	59731	28368
678	59818	28279
679	59900	28188
680	59985	28098
681	60078	28013
682	60161	27922
683	60245	27832
684	60327	27741
685	60415	27653
686	60503	27565
687	60591	27477
688	60680	27389
689	60762	27299
690	60851	27211
691	60933	27120
692	61016	27030
693	61106	26943
694	61195	26855
695	61280	26765
696	61369	26678
697	61455	26589
698	61540	26500
699	61632	26413
700	61727	26328
701	61814	26240
702	61902	26152
703	61989	26063
704	62076	25975
705	62159	25885
706	62244	25795
707	62335	25709
708	62422	25620
709	62508	25531
710	62599	25444
711	62681	25354
712	62764	25264
713	62857	25178
714	62941	25088
715	63024	24998
716	63108	24908
717	63196	24820
718	63278	24730
719	63371	24644
720	63459	24556
721	63543	24466
722	63633	24379
723	63718	24290
724	63803	24201
725	63894	24114
726	63977	24024
727	64060	23934
728	64144	23845
729	64233	23757
730	64316	23667
731	64408	23581
732	64494	23492
733	64580	23403
734	64676	23318
735	64759	23228
736	64845	23140
737	64937	23053
738	65021	22964
739	65104	22874
740	65192	22786
741	65278	22697
742	65360	22607
743	65453	22521
744	65535	22431
745	65621	22343
746	65711	22255
747	65803	22168
748	65889	22080
749	65977	21992
750	66059	21902
751	66142	21812
752	66229	21724
753	66313	21635
754	66396	21545
755	66485	21458
756	66572	21369
757	66654	21280
758	66745	21193
759	66828	21103
760	66913	21014
761	67003	20927
762	67089	20839
763	67169	20748
764	67258	20661
765	67346	20573
766	67430	20484
767	67520	20396
768	67603	20307
769	67688	20218
770	67776	20130
771	67862	20042
772	67948	19953
773	68036	19865
774	68121	19777
775	68204	19687
776	68291	19599
777	68375	19510
778	68466	19423
779	68558	19337
780	68645	19248
781	68728	19159
782	68818	19072
783	68905	18984
784	68991	18895
785	69081	18808
786	69165	18719
787	69249	18630
788	69337	18542
789	69423	18454
790	69508	18365
791	69598	18278
792	69685	18190
793	69775	18102
794	69865	18015
795	69952	17927
796	70040	17839
797	70124	17750
798	70208	17661
799	70296	17574
800	70378	17484
801	70463	17396
802	70551	17308
803	70635	17219
804	70719	17130
805	70806	17042
806	70897	16955
807	70984	16867
808	71070	16779
809	71158	16691
810	71246	16603
811	71341	16517
812	71430	16429
813	71512	16340
814	71604	16253
815	71693	16166
816	71779	16077
817	71866	15989
818	71953	15901
819	72045	15814
820	72127	15725
821	72221	15639
822	72306	15550
823	72398	15463
824	72492	15377
825	72583	15289
826	72670	15201
827	72757	15113
828	72844	15025
829	72934	14938
830	73025	14851
831	73108	14762
832	73202	14675
833	73290	14587
834	73380	14500
835	73473	14413
836	73559	14325
837	73643	14236
838	73731	14148
839	73816	14060
840	73906	13972
841	74004	13886
842	74089	13798
843	74172	13709
844	74263	13622
845	74349	13534
846	74437	13446
847	74529	13359
848	74615	13270
849	74701	13182
850	74793	13095
851	74882	13007
852	74968	12919
853	75061	12832
854	75147	12744
855	75230	12655
856	75320	12568
857	75405	12479
858	75491	12391
859	75579	12303
860	75664	12215
861	75751	12127
862	75840	12039
863	75925	11951
864	76009	11862
865	76097	11774
866	76184	11686
867	76266	11598
868	76357	11510
869	76444	11422
870	76529	11334
871	76619	11246
872	76704	11158
873	76791	11070
874	76882	10983
875	76967	10894
876	77053	10806
877	77144	10719
878	77229	10631
879	77315	10542
880	77404	10455
881	77490	10367
882	77576	10279
883	77663	10191
884	77751	10103
885	77839	10015
886	77931	9928
887	78015	9839
888	78101	9751
889	78196	9664
890	78286	9577
891	78373	9489
892	78464	9401
893	78556	9314
894	78646	9226
895	78739	9139
896	78826	9051
897	78920	8964
898	79010	8876
899	79107	8789
900	79196	8701
901	79284	8614
902	79380	8527
903	79467	8439
904	79553	8350
905	79648	8263
906	79740	8176
907	79829	8088
908	79922	8001
909	80010	7913
910	80110	7826
911	80200	7738
912	80295	7651
913	80390	7564
914	80487	7477
915	80575	7388
916	80667	7301
917	80752	7213
918	80844	7125
919	80930	7037
920	81019	6949
921	81117	6862
922	81208	6774
923	81305	6687
924	81391	6599
925	81482	6511
